"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","india","has approved ","the jallikattu ordinance","the president of india has approved the jallikattu ordinance passed by the tamilnadu assembly","the president of india has approved the jallikattu ordinance passed by the tamilnadu assembly","the president of india has approved the jallikattu ordinance passed by the tamilnadu assembly","jallikattu the president of india has approved the jallikattu ordinance passed by the tamilnadu government letsdojallikat","jallikattu the president of india has approved the jallikattu ordinance passed by the tamilnadu government","the president of india has approved the jallikattu ordinance passed by the tamilnadu government","the president of india has approved the jallikattu ordinance passed by the tamilnadu government so","5159.0079964624","NA","NA"
"2","the jallikattu ordinance","has approved ","tamilnadu government","jallikattu the president of india has approved the jallikattu ordinance passed by the tamilnadu government letsdojallikat","jallikattu the president of india has approved the jallikattu ordinance passed by the tamilnadu government","the president of india has approved the jallikattu ordinance passed by the tamilnadu government","the president of india has approved the jallikattu ordinance passed by the tamilnadu government so","2948.00456940708","NA","NA","NA","NA","NA"
"3","jallikattu dates","have been announced ","will chief minister","jallikattu dates have been announced will chief minister attend jallikattu","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"4","jallikattu dates","attend ","will chief minister","jallikattu dates have been announced will chief minister attend jallikattu","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"5","a woman","can compare ","who","a woman who can compare jallikattu to triple talaq is a disgrace to the human mind","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"6","who","can compare ","triple talaq","a woman who can compare jallikattu to triple talaq is a disgrace to the human mind","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"7","triple talaq","can compare ","a disgrace","a woman who can compare jallikattu to triple talaq is a disgrace to the human mind","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"8","a disgrace","can compare ","the human mind","a woman who can compare jallikattu to triple talaq is a disgrace to the human mind","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"9","congress party","promises to ban ","its tamilnadu","in congress party promises to ban jallikattu in its tamilnadu manifesto","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"10","nagaland people","menkagandhi ","street dog","in nagaland people eat street dog does poorvajoshipura radharajan menkagandhi aware of that","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"11","street dog","menkagandhi ","poorvajoshipura radharajan","in nagaland people eat street dog does poorvajoshipura radharajan menkagandhi aware of that","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
